cliente_id,tipo_documento,numero_documento,nombres,apellido_paterno,apellido_materno,fecha_nacimiento,edad,genero,estado_civil,nivel_educacion,ocupacion,sector_economico,ciudad_residencia,departamento_residencia,region_residencia,ingresos_mensuales,egresos_mensuales,patrimonio_estimado,score_crediticio,segmento_cliente,canal_captacion,antiguedad_cliente_meses,fecha_registro,sucursal_id,estado_cliente
1,DNI,60366909,Carmen,Ramírez,Flores,16/09/1977,47,F,Casado,Secundaria,Empleado Público,Transporte,Piura,Piura,Norte,-2072.19,888.76,39631.77,550,Regular,Agencia,105,2016/05/07,14,Activo
2,DNI,62729806,Cecilia,Cusi,Cusi,13/03/1964,60,f,Casado,Universitario,Empresario,Servicios,Chiclayo,Lambayeque,Norte,5663.68,3037.05,125691.99,528,Regular,Digital,87,2017-10-18,13,Activo
3,CE,641708053,Juan,Ortiz,Medina,1964-08-01,60,M,Casado,Universitario,Empleado Privado,Otro,Chiclayo,Lambayeque,Norte,4750.66,2302.13,226055.14,493,Regular,Agencia,72,2019/01/08,13,Activo
4,DNI,29912419,Carlos,Flores,Morales,1976-11-09,48,M,Soltero,Técnico,Empleado Público,Otro,Sullana,Piura,Norte,1832.75,763.53,104986.09,490,Regular,Telemarketing,180,2010/03/12,15,Activo
5,DNI,86518506,Sandra,González,Morales,1980/11/20,44,F,Viudo,Secundaria,Independiente,Transporte,Los Olivos,Lima,Lima y Callao,850.0,405.03,37044.25,392,Regular,Digital,145,2013/01/08,4,Activo
6,DNI,94531473,Cecilia,Gómez,Apaza,1989-02-10,35,F,Divorciado,Universitario,Empleado Privado,Otro,Cusco,Cusco,Sur,1625.52,1038.1,58494.32,493,Regular,Agencia,120,2015-02-09,16,Activo
7,DNI,31367837, lucía,Huanca,Reyes  ,1993-07-11,31,F,Casado,Técnico,Independiente,Comercio,Tarapoto,San Martín,Oriente,850.0,415.57,45710.14,548,Regular,Agencia,71,14-02-2019,23,Activo
8,DNI,44313518,Sofía,Herrera,Mamani,1985-04-02,39,F,Conviviente,Universitario,Empleado Público,Manufactura,Víctor Larco Herrera,La Libertad,Norte,2118.6,1093.54,99126.42,424,Regular,Agencia,91,19-06-2017,11,Activo
9,DNI,8427109,Isabel,Chávez,Sánchez,1989/10/02,35,F,Soltero,Técnico,Empleado Privado,Transporte,Tarapoto,San Martín,Oriente,2851.1,1412.67,67622.15,414,Regular,Agencia,137,2013-09-26,23,Activo
10,DNI,41318699,Paola,Torres,González,21/06/1978,46,F,Divorciado,Técnico,Empleado Público,Tecnología,Lima,Lima,Lima y Callao,1709.72,965.39,74706.99,496,Regular,Agencia,39,2021-09-23,5,Inactivo
11,DNI,12328120,ÓsCaR ,Castro,Ramos,1990-03-24,34,M,Casado,Universitario,Independiente,Salud,Arequipa,Arequipa,Sur,8010.93,-4606.94,372385.23,486,Regular,Agencia,161,2011/10/05,7,Activo
12,CE,618324210,Diana,Quispe,González,22/01/1995,29,F,Soltero,Técnico,Empleado Privado,Finanzas,El Tambo,Junín,Centro,3874.15,1800.15,190394.65,404,Regular,Telemarketing,170,2010-12-20,19,Activo
13,DNI,13990490,Marco,Rojas,Gutiérrez,1980/04/30,44,M,Divorciado,Secundaria,Empleado Público,Tecnología,Piura,Piura,Norte,978.15,508.72,38243.62,434,regular,Referido,83,2018/02/17,14,Inactivo
14,DNI,74680715,Óscar,Castro,Huanca,26/11/1980,44,M,Soltero,Secundaria,Empleado Público,Educación,Los Olivos,Lima,Lima y Callao,2878.18,1469.8,71076.74,521,Regular,Telemarketing,42,2021-07-10,4,Activo
15,DNI,48247710,Iván,Quispe,Álvarez,1984/12/14,40,M,Conviviente,Universitario,Empleado Privado,Manufactura,Chimbote,Ancash,Centro,2413.1,1196.34,114224.19,403,Regular,Referido,114,2015-07-28,21,Activo
16,DNI,67737826,José,Pérez,cruz,1991/11/12,33,M,Soltero,Universitario,Empleado Público,Construcción,Cusco,Cusco,Sur,1635.35,682.9,83846.76,550,Regular,Telemarketing,75,18-10-2018,16,Activo
17,DNI,27875588,Cecilia,CASTILLO , Condori ,29/08/1978,46,F,Casado,Postgrado,Empresario,Manufactura,El Tambo,Junín,Centro,2051.89,965.43,48270.52,530,Regular,Campaña Institucional,149,2012-09-14,19,Activo
18,DNI,2895171,José,Martínez,Vargas,1987/05/13,37,M,Casado,Técnico,Independiente,Construcción,Iquitos,Loreto,Oriente,1396.92,893.54,39220.06,511,Regular,Digital,167,2011/04/10,22,Activo
19,CE,780913431,Diego,Ortiz,Castillo,1970-03-01,54,M,Casado,,Independiente,Otro,Iquitos,Loreto,Oriente,4882.42,2870.61,255310.51,464,Regular,Referido,137,2013-09-18,22,Activo
20,DNI,22219693,Marco,Rodríguez,Martínez,28/07/1986,38,M,Casado,Universitario,Independiente,Manufactura,Lima,Lima,Lima y Callao,2851.5,1351.26,78392.69,536,Regular,Digital,63,13-10-2019,5,Activo
21,CE,474367136,Carlos,Quispe,Chávez,1988/01/29,36,M,Casado,Universitario,Empleado Público,Agricultura,El Tambo,Junín,Centro,1870.02,754.81,106875.86,436,Regular,Agencia,77,15/08/2018,19,Activo
22,DNI,39421047,Carlos,Laime,lópez,1997/03/03,27,M,Soltero,Técnico,Independiente,Construcción,Yanahuara,Arequipa,Sur,3650.53,2360.1,200606.17,542,Regular,Agencia,156,13-02-2012,8,Activo
23,DNI,74517123,Lucía,Díaz,Ramírez,1983-04-10,41,F,Conviviente,Universitario,Empresario,Educación,Cayma,Arequipa,Sur,10394.2,5166.69,354372.87,542,Premium,Campaña Institucional,66,2019/07/02,6,Activo
24,DNI,51370985,Pablo,García,OrTiZ,1990-04-10,34,M,Conviviente,Técnico,Empleado Privado,Servicios,La Esperanza,La Libertad,Norte,3205.64,1596.24,150500.32,562,Regular,Digital,150,24-08-2012,9,Activo
25,DNI,58692617,Ángela,Álvarez,Torres,1983/11/01,41,F,Casado,Postgrado,Empleado Privado,Agricultura,Yanahuara,Arequipa,Sur,6180.81,2422.31,369539.65,349,Premium ,Agencia,138,2013-08-27,8,Activo
26,DNI,17139005,Ricardo,Herrera,Sánchez,27-01-1973,51,M,Soltero,Secundaria,Empleado Público,Finanzas,Santiago de Surco,Lima,Lima y Callao,2333.83,1560.27,96926.28,504,Regular,Agencia,102,2016/08/07,2,Activo
27,DNI,21020539,Fabiola,Reyes,Cruz,27/07/1981,43,F,Casado,Secundaria,Independiente,Comercio,La Esperanza,La Libertad,Norte,850.0,537.51,33142.39,474,Regular,Agencia,38,13-11-2021,9,Activo
28,DNI,84700766,Luis,MamAni,Romero,1978-07-11,46,M,Casado,Técnico,Empleado Público,Salud,Pisco,Ica ,Sur,3926.48,1629.09,134284.09,488,Regular,Agencia,12,2023/12/14,20,Activo
29,DNI,96118367,Carmen,Ramírez,Gutiérrez,24-02-1992,32,F,Conviviente,Técnico,Independiente,Salud,Pisco,Ica,Sur,1516.98,842.64,37787.43,521,Regular,Agencia,136,21/10/2013,20,Activo
30,DNI,52809885,ANDRÉS,Ortiz,Herrera,1979-10-26,45,M,Casado,Técnico,Independiente,Otro,Miraflores,Lima,Lima y Callao,1646.04,875.31,20976.62,519,Regular,Telemarketing,24,13/01/2021,3,Activo
31,DNI,85149368,Ana,Chávez, Ramos ,15/07/1981,43,F,Conviviente,Universitario,Empleado Privado,Finanzas,Cusco,Cusco,Sur,4658.08,2526.41,74743.41,455,Regular,Referido,58,2020/02/29,16,Activo
32,DNI,96120183,Adriana,Gutiérrez,Rodríguez,1986-10-10,38,F,Casado,Técnico,Empleado Privado,Construcción,Chiclayo,Lambayeque,Norte,2270.29,1416.6,126954.51,401,Regular,Agencia,2,2023-04-01,12,Activo
33,DNI,97643815,Fabiola,Pérez,López,25-10-1979,45,F,Casado,Técnico,Empleado Privado,Otro,  La esperanza,La Libertad,Norte,3319.23,1917.55,142880.81,494,Regular,Digital,114,31/07/2015,9,Activo
34,DNI,76226838,Ricardo,Rojas,López,1986-01-07,39,M,Casado,universitario,Empleado Privado,Transporte,La Esperanza,La Libertad,Norte,1371.71,936.2,65707.89,458,Regular,Agencia,75,24/10/2018,9,Inactivo
35,DNI,52975161,Carlos,Quispe,González,1987/08/03,37,M,Soltero,Universitario,Independiente,Tecnología,Piura,Piura,Norte,1279.57,721.02,57444.95,469,Regular,Agencia,75,31-10-2018,14,Inactivo
36,CE,231243292,Claudia,Castillo,Rivera,1978-12-04,46,F,Divorciado,Universitario,Empleado Público,Construcción,Chiclayo,Lambayeque,Norte,4623.08,1925.46,159577.2,527,Regular,Campaña Institucional,90,18-07-2017,12,Activo
37,DNI,77449058,Óscar,Romero,Laime,17/02/1979,45,M,Soltero,Técnico,Independiente,Comercio,Chimbote,Ancash,Centro,2263.91,1312.72,119853.29,386,Regular,Agencia,81,2018-05-03,21,Activo
38,DNI,35978207,Luis,Condori,Medina,1983-05-20,41,M,Soltero,Universitario,Independiente,Transporte,Santiago de Surco,Lima,Lima y Callao,2414.01,1654.45,112067.75,621,Regular,Campaña Institucional,116,2015-05-24,2,Activo
39,DNI,90515186,Ana,Morales,Romero,31-05-1985,39,F,Soltero,Universitario,Empleado Público,Otro,Trujillo,La Libertad,Norte,2326.49,1338.05,62635.38,501,Regular,Campaña Institucional,100,2016/10/01,10,Activo
40,DNI,52816850,Luis,Flores,Jiménez,1997-08-02,27,M,Casado,Secundaria,Pensionista,Manufactura,Pisco, ica ,Sur,-1467.02,885.37,41636.69,504,Regular,Agencia,22,2023/03/03,20,Activo
41,DNI,92962229,Jorge,Flores,González,1973/08/15,51,M,Viudo,Secundaria,Empresario,Salud,Cajamarca,Cajamarca,Norte,3550.39,1464.06,170722.23,600,Regular,Agencia,135,28-11-2013,24,Activo
42,DNI,97746886,Alejandra,Chávez,Romero,1999-09-10,25,F,Conviviente,Universitario,Empleado Público,Finanzas,Cusco,Cusco,Sur,2324.73,1113.61,116349.11,602,Regular,Agencia,50,2020-11-11,16,Activo
43,CE,261375060, daniela ,Choque,Sánchez,1994/01/09,30,F,Casado,Técnico,Empresario,Educación,Cayma,Arequipa,Sur,3712.27,2421.79,84726.17,497,regular ,Campaña Institucional,70,2019-03-19,6,Activo
44,DNI,10432898,Miguel,Castillo,Flores,1989/10/31,35,M,Casado,Universitario,Empleado Privado,Manufactura,Lima,Lima,Lima y Callao,1242.24,836.73,40456.85,478,Regular,Agencia,121,2015/01/09,5,Activo
45,DNI,60953962,Víctor,Quispe,González,1995/11/13,29,M,Casado,Secundaria,Empresario,Transporte,El Tambo,Junín,Centro,6870.31,3709.59,246470.98,446,Regular,Agencia,62,2019/11/06,19,Activo
46,DNI,15319520,Alejandro,Choque,Rodríguez,1964-06-30,62,M,Casado,Técnico,Empresario,Otro,Chiclayo,Lambayeque,Norte,4073.96,1604.86,114550.91,520,Regular,Agencia,65,2019-08-07,12,Activo
