oficial_id,sucursal_id,nombres,apellido_paterno,apellido_materno,genero,cargo,fecha_ingreso,estado
1,12,Alejandra,Herrera,Rivera,F,Analista de Créditos,2017/12/20,Activo
2,24,Víctor,Rivera,Cusi,M,Analista de Créditos,2015/06/29,Activo
3,8,Héctor,Vargas,López,M,,20-09-2010,Activo
4,7,Fernando,Laime,Vargas,M,Analista Senior de Créditos,2021-03-13,Activo
5,8,Patricia,Ortiz,Ramírez,F,,2022/08/04,Activo
6,8, Fabiola,Rojas,  Herrera,fem,Analista Senior de Créditos,2013/02/07,Activo
7,22,Miguel,Flores,Rivera,M,Oficial de Créditos,21-06-2019,Activo
8,1,Isabel,Ortiz,Choque,F,Oficial de Créditos,27-07-2012,Activo
9,10, Ángela,Castillo,Torres,F,Analista de Créditos,2019-10-02,Activo
10,4,Isabel,Gómez,Condori,F ,Analista de Créditos,2024/10/01,Activo
11,18,  jorge,Herrera,Rivera,M,Oficial Senior,2021-11-23,Activo
12,10,María, Torres,Herrera,F,Analista de Créditos,2015/05/16,Activo
13,18,Luis,Huanca,González,M,Analista de Créditos,27-10-2012,Activo
14,7,Eduardo,Apaza,Castro,M,Oficial de Créditos,2022/02/04,Activo
15,17,Mónica,Herrera,Romero,F,Analista de Créditos,2020/02/16,Activo
16,19,María,Choque ,Cruz,F,Analista de Créditos,2014-12-10,Activo
17,11,Ricardo,González,Martínez,M,Analista Senior de Créditos,2011/08/04,Activo
18,24,Sandra,Cusi,Ramírez,F,OfIcIaL De cRéDiToS ,2022/10/22,Activo
19,4,Cecilia,Díaz,Sánchez,F,Analista Senior de Créditos,2019/09/02,Activo 
20,13,Héctor,Sánchez,López,M,Oficial Senior,2017/08/11,Activo
21,5,Fernando,Cusi,Romero,Masculino, Analista de Créditos ,2019-06-19,Activo
22,2,  césar,Choque, SÁNCHEZ,M,Oficial Senior,2022/02/15,Inactivo
23,16,Roberto,Álvarez,Huanca,Masculino,Oficial Senior,2014/10/18,Activo
24,9,Pablo,García,Medina,M,Analista de Créditos,2020-03-16,Activo
25,7,Patricia,Díaz,chávez,F,Oficial de Créditos,25/04/2011,Activo
26,17,Ana,López,Mamani,FEMENINO,Analista de Créditos,29-11-2021,Inactivo
27,22, RoBeRtO ,González,González,M,Analista Senior de Créditos,2015-04-11,Inactivo
28,14,Óscar,MARTÍNEZ ,Pérez,M,Oficial de Créditos,2023-02-03,Activo
29,9,Sandra,Vargas,Morales,F,Analista de Créditos,17/11/2018,Activo
30,15,Valeria,González,García  ,F,Supervisor de Créditos,2023/12/07,Inactivo
31,9,Iván,Reyes,Condori,M,Supervisor de Créditos,21-12-2012,Activo
32,15,David,Chávez,Rivera,M,Oficial de Créditos,2022-03-09,Activo
33,22,Héctor,Choque,Ramos,M,SUPERVISOR DE CRÉDITOS,2012/04/28,activo
34,9,Miguel,Choque,Flores,M,Oficial de Créditos,2016/04/27,Activo
35,16,Héctor,Ortiz,Condori,M,Oficial Senior,2015-08-20,Activo
36,2,Rodrigo, CasTro ,Gutiérrez,M,Analista Senior de Créditos,30-01-2010,Activo
37,23,Lucía,Romero,Choque,F,,2019/08/05,Activo
38,19,Iván,Martínez,Herrera,M,Analista de Créditos,24/05/2022,Activo
39,7,Daniela,Martínez,Jiménez,F,Oficial de Créditos,2015-08-07,Activo
40,6,Elena,Flores,Morales,F,Oficial Senior,21-12-2013,Activo
41,6,Cecilia,Morales, Gutiérrez,F,Analista Senior de Créditos,2012-06-04,Activo
42,12,Claudia,Díaz,Quispe,F,Oficial Senior,2016-11-05,Activo
43,11,Carlos,Díaz,Rojas,M,Oficial Senior,2016-04-01,Inactivo
44,22,Daniela,Condori,Rojas,F,Analista Senior de Créditos,2022/01/10,Activo
45,4,Lucía,Ortiz,Martínez ,F,Analista Senior de Créditos,2023/05/20,Activo
46,13,Cecilia,Condori,Torres,FEMENINO,Analista de Créditos,2022-12-07,Activo
47,22,María,Apaza,Cusi,F,ANALISTA SENIOR DE CRÉDITOS,2014/06/03,Activo
48,24,Elena,Vargas,Torres,F,AnAlIsTa sEnIoR De cRéDiToS ,2016/09/26,Activo
49,5,Mónica,Chávez,Choque,f,Analista Senior de Créditos,2014/04/21,inactivo
50,13,Víctor,Laime,Ramos,M,Oficial Senior,2022-04-16,Activo 
51,15,José,Vargas,Quispe,M,OFICIAL DE CRÉDITOS,2019-12-02,Activo
52,17,HéCtOr,Pérez,Chávez,M,Oficial de Créditos,2024-03-13,activo 
53,7,Héctor  ,Ramos,Cruz,M,Analista de Créditos,2013/04/22,Activo
54,14,Elena,González,Quispe,F,Oficial de Créditos,16-02-2024,Activo
55,5,Paola,Rojas,Morales,F,Oficial Senior,2010-02-15,Activo
56,23,José,Cruz,Gómez,M,Analista Senior de Créditos,14/08/2021,Activo
57,22,César,Ramírez,Quispe,M,Supervisor de Créditos,2021/11/30,Activo
58,18,Elena,Condori,Castro,F,Oficial Senior,2020/01/01,Activo
59,21,Alejandra,Ortiz,Morales,F,Oficial de Créditos,2016/03/21,Activo
60,23,Eduardo,Romero ,González,M, Analista de créditos,2016/05/29,Activo
53,7,Héctor  ,Ramos,Cruz,M,Analista de Créditos,2013-04-22,Activo
17,11,Ricardo,González,Martínez,M,Analista Senior de Créditos,2011-08-04,Activo
